subfolder,filename,n,m,T_star,Cmax,ratio,time_total,best_objective,best_type,best_gap,best_time
Instanciasde1000a1100,1050.txt,1000,40,25053,26060.0,1.040195,31.273,25059.0,1.0,6.40073,300.0
Instanciasde1000a1100,1051.txt,1000,50,20033,21049.0,1.050716,36.238,20040.0,1.0,7.07729,300.0
Instanciasde1000a1100,1052.txt,1000,50,20030,22029.0,1.0998,45.648,20035.0,1.0,5.62034,300.0
Instanciasde1000a1100,1053.txt,1000,50,20031,21041.0,1.050422,59.06,20039.0,1.0,7.96304,300.0
Instanciasde1000a1100,1054.txt,1000,50,20032,22039.0,1.10019,50.242,20038.0,1.0,5.98505,300.0
Instanciasde1000a1100,1055.txt,1000,50,20032,21036.0,1.05012,62.444,20038.0,1.0,6.2351,300.0
Instanciasde1000a1100,1056.txt,1000,50,20031,21033.0,1.050022,61.384,20044.0,1.0,12.8238,300.0
Instanciasde1000a1100,1057.txt,1000,50,20031,21040.0,1.050372,39.078,20035.0,1.0,4.31729,300.0
Instanciasde1000a1100,1058.txt,1000,50,20032,21031.0,1.04987,45.978,20040.0,1.0,7.81518,300.0
Instanciasde1000a1100,1059.txt,1000,50,20030,21035.0,1.050175,47.318,20041.0,1.0,11.3328,300.0
Instanciasde1000a1100,1060.txt,1000,50,20032,21034.0,1.05002,34.738,20037.0,1.0,5.23212,300.0
Instanciasde1000a1100,111.txt,100,10,10082,11096.0,1.100575,0.174,10092.0,1.0,3.0,300.0
Instanciasde1000a1100,112.txt,100,10,10069,11083.0,1.100705,0.143,10078.0,0.0,0.0,1113.42
Instanciasde1000a1100,113.txt,100,10,10101,12081.0,1.19602,0.309,10108.0,1.0,3.81966,300.0
Instanciasde1000a1100,114.txt,100,10,10102,12108.0,1.198575,0.14,10112.0,1.0,3.0,300.0
Instanciasde1000a1100,115.txt,100,10,10097,12141.0,1.202436,0.162,10105.0,0.0,0.0,1100.2
Instanciasde1000a1100,116.txt,100,10,10094,11101.0,1.099762,0.154,10102.0,1.0,1.0,300.0
Instanciasde1000a1100,117.txt,100,10,10111,11098.0,1.097616,0.169,10121.0,1.0,5.0,300.0
Instanciasde1000a1100,118.txt,100,10,10098,11086.0,1.097841,0.145,10110.0,1.0,7.0,300.0
